Bloco Temático,Disciplina,Tópico,Subtópico,Peso
Bloco 5,"Seguridade Social","1. Planejamento e gestão estratégica: conceitos, princípios, etapas, níveis, métodos e ferramentas","1.1. Análise de ambientes e cenários",não informado
Bloco 5,"Seguridade Social","1. Planejamento e gestão estratégica: conceitos, princípios, etapas, níveis, métodos e ferramentas","1.2. Estabelecimento de objetivos e metas organizacionais",não informado
Bloco 5,"Seguridade Social","1. Planejamento e gestão estratégica: conceitos, princípios, etapas, níveis, métodos e ferramentas","1.3. Métodos de elaboração de mapas estratégicos e planos de ação",não informado
Bloco 5,"Seguridade Social","1. Planejamento e gestão estratégica: conceitos, princípios, etapas, níveis, métodos e ferramentas","1.4. Implementação de estratégias",não informado
Bloco 5,"Seguridade Social","1. Planejamento e gestão estratégica: conceitos, princípios, etapas, níveis, métodos e ferramentas","1.5. Ferramentas de gestão",não informado
Bloco 5,"Seguridade Social","1. Planejamento e gestão estratégica: conceitos, princípios, etapas, níveis, métodos e ferramentas","1.6. Indicadores de desempenho: conceito, formulação e análise",não informado
Bloco 5,"Seguridade Social","2. Gestão de pessoas","2.1. Evolução e funções da gestão de pessoas",não informado
Bloco 5,"Seguridade Social","2. Gestão de pessoas","2.2. Recrutamento e seleção",não informado
Bloco 5,"Seguridade Social","2. Gestão de pessoas","2.3. Gestão do desempenho, avaliação de desempenho e entrega por resultados",não informado
Bloco 5,"Seguridade Social","2. Gestão de pessoas","2.4. Valorização, sistemas de recompensas e responsabilização",não informado
Bloco 5,"Seguridade Social","2. Gestão de pessoas","2.5. Gestão por competências",não informado
Bloco 5,"Seguridade Social","2. Gestão de pessoas","2.6. Clima e cultura organizacional",não informado
Bloco 5,"Seguridade Social","2. Gestão de pessoas","2.7. Liderança (estilos e situações de trabalho)",não informado
Bloco 5,"Seguridade Social","2. Gestão de pessoas","2.8. Teorias da motivação",não informado
Bloco 5,"Seguridade Social","2. Gestão de pessoas","2.9. Negociação e gestão de conflitos",não informado
Bloco 5,"Seguridade Social","2. Gestão de pessoas","2.10. Tendências do futuro do trabalho no serviço público (IA)",não informado
Bloco 5,"Seguridade Social","3. Gestão de projetos","3.1. Conceitos básicos",não informado
Bloco 5,"Seguridade Social","3. Gestão de projetos","3.2. Gerenciamento da integração, do escopo, do tempo, de custos, da qualidade, de recursos humanos, de comunicações, de riscos, de aquisições e de partes interessadas",não informado
Bloco 5,"Seguridade Social","3. Gestão de projetos","3.3. Metodologias ágeis",não informado
Bloco 5,"Seguridade Social","4. Gestão de processos","4.1. Conceitos da abordagem por processos",não informado
Bloco 5,"Seguridade Social","4. Gestão de processos","4.2. Técnicas de mapeamento, análise e melhoria de processos",não informado
Bloco 5,"Seguridade Social","4. Gestão de processos","4.3. Inteligência artificial e automação de processos (potencialidades e riscos)",não informado
Bloco 5,"Gestão Governamental e Governança Pública","1. Gestão de riscos: princípios, objetivos, técnicas, integração ao planejamento","1.1. Boas práticas de gestão de riscos",não informado
Bloco 5,"Gestão Governamental e Governança Pública","1. Gestão de riscos: princípios, objetivos, técnicas, integração ao planejamento","1.2. Controles interno e externo",não informado
Bloco 5,"Gestão Governamental e Governança Pública","2. Inovação na gestão pública","2.1. Transformação digital do Estado",não informado
Bloco 5,"Gestão Governamental e Governança Pública","2. Inovação na gestão pública","2.2. Governo eletrônico",não informado
Bloco 5,"Gestão Governamental e Governança Pública","2. Inovação na gestão pública","2.3. Trabalho no setor público e uso de IA (potencialidades e riscos)",não informado
Bloco 5,"Gestão Governamental e Governança Pública","3. Participação social nos processos de gestão das políticas públicas","3.1. Controle social",não informado
Bloco 5,"Gestão Governamental e Governança Pública","4. Parcerias entre governo e sociedade","4.1. Marco Regulatório das OSC",não informado
Bloco 5,"Gestão Governamental e Governança Pública","4. Parcerias entre governo e sociedade","4.2. Instrumentos e termos de fomento e colaboração",não informado
Bloco 5,"Gestão Governamental e Governança Pública","5. Articulação versus fragmentação de ações governamentais","5.1. Dimensões da coordenação (intra, intergovernamental e governo-sociedade)",não informado
Bloco 5,"Gestão Governamental e Governança Pública","5. Articulação versus fragmentação de ações governamentais","5.2. Coordenação executiva e núcleo de governo",não informado
Bloco 5,"Gestão Governamental e Governança Pública","6. Administração de recursos materiais e patrimoniais","6.1. Conceituação de material e patrimônio",não informado
Bloco 5,"Gestão Governamental e Governança Pública","6. Administração de recursos materiais e patrimoniais","6.2. Patrimônio de empresas e órgãos públicos",não informado
Bloco 5,"Gestão Governamental e Governança Pública","6. Administração de recursos materiais e patrimoniais","6.3. Gestão da cadeia de suprimentos",não informado
Bloco 5,"Gestão Governamental e Governança Pública","6. Administração de recursos materiais e patrimoniais","6.4. Logística reversa",não informado
Bloco 5,"Gestão Governamental e Governança Pública","6. Administração de recursos materiais e patrimoniais","6.5. Logística e transformação digital",não informado
Bloco 5,"Políticas Públicas","1. As diferentes conceituações de políticas públicas","1.1. O processo de políticas públicas",não informado
Bloco 5,"Políticas Públicas","1. As diferentes conceituações de políticas públicas","1.2. O papel do Estado",não informado
Bloco 5,"Políticas Públicas","1. As diferentes conceituações de políticas públicas","1.3. A burocracia e o Estado",não informado
Bloco 5,"Políticas Públicas","1. As diferentes conceituações de políticas públicas","1.4. Burocracia e discricionariedade na formulação/implementação",não informado
Bloco 5,"Políticas Públicas","2. Implementação de políticas públicas: problemas, dilemas e desafios","2.1. Arranjos institucionais para implementação",não informado
